year,gender,edad,mes,asegurados
2018,Hombres,0-14,ene,72
2018,Hombres,0-14,feb,82
2018,Hombres,0-14,mar,60
2018,Hombres,0-14,abr,51
2018,Hombres,0-14,may,42
2018,Hombres,0-14,jun,39
2018,Hombres,0-14,jul,33
2018,Hombres,0-14,ago,5
2018,Hombres,0-14,sep,3
2018,Hombres,0-14,oct,4
2018,Hombres,0-14,nov,13
2018,Hombres,0-14,dic,34
2018,Hombres,15-19,ene,14256
2018,Hombres,15-19,feb,14548
2018,Hombres,15-19,mar,14548
2018,Hombres,15-19,abr,14142
2018,Hombres,15-19,may,13341
2018,Hombres,15-19,jun,12081
2018,Hombres,15-19,jul,11020
2018,Hombres,15-19,ago,10326
2018,Hombres,15-19,sep,9968
2018,Hombres,15-19,oct,9640
2018,Hombres,15-19,nov,10064
2018,Hombres,15-19,dic,10241
2018,Hombres,20-24,ene,68364
2018,Hombres,20-24,feb,68382
2018,Hombres,20-24,mar,68478
2018,Hombres,20-24,abr,67352
2018,Hombres,20-24,may,64903
2018,Hombres,20-24,jun,60048
2018,Hombres,20-24,jul,56203
2018,Hombres,20-24,ago,54298
2018,Hombres,20-24,sep,53231
2018,Hombres,20-24,oct,52795
2018,Hombres,20-24,nov,53775
2018,Hombres,20-24,dic,53236
2018,Hombres,25-29,ene,92997
2018,Hombres,25-29,feb,92822
2018,Hombres,25-29,mar,92949
2018,Hombres,25-29,abr,91956
2018,Hombres,25-29,may,89976
2018,Hombres,25-29,jun,85113
2018,Hombres,25-29,jul,81264
2018,Hombres,25-29,ago,79411
2018,Hombres,25-29,sep,78398
2018,Hombres,25-29,oct,78123
2018,Hombres,25-29,nov,79489
2018,Hombres,25-29,dic,78648
2018,Hombres,30-34,ene,84830
2018,Hombres,30-34,feb,84330
2018,Hombres,30-34,mar,83799
2018,Hombres,30-34,abr,82710
2018,Hombres,30-34,may,80613
2018,Hombres,30-34,jun,76180
2018,Hombres,30-34,jul,72917
2018,Hombres,30-34,ago,71627
2018,Hombres,30-34,sep,70771
2018,Hombres,30-34,oct,70702
2018,Hombres,30-34,nov,71895
2018,Hombres,30-34,dic,71484
2018,Hombres,35-39,ene,73556
2018,Hombres,35-39,feb,73301
2018,Hombres,35-39,mar,73156
2018,Hombres,35-39,abr,72166
2018,Hombres,35-39,may,70337
2018,Hombres,35-39,jun,67103
2018,Hombres,35-39,jul,64942
2018,Hombres,35-39,ago,64199
2018,Hombres,35-39,sep,63790
2018,Hombres,35-39,oct,63778
2018,Hombres,35-39,nov,64638
2018,Hombres,35-39,dic,63979
2018,Hombres,40-44,ene,53618
2018,Hombres,40-44,feb,53241
2018,Hombres,40-44,mar,52808
2018,Hombres,40-44,abr,51994
2018,Hombres,40-44,may,50709
2018,Hombres,40-44,jun,48158
2018,Hombres,40-44,jul,46567
2018,Hombres,40-44,ago,45998
2018,Hombres,40-44,sep,45606
2018,Hombres,40-44,oct,45807
2018,Hombres,40-44,nov,46460
2018,Hombres,40-44,dic,46006
2018,Hombres,45-49,ene,42593
2018,Hombres,45-49,feb,42050
2018,Hombres,45-49,mar,41263
2018,Hombres,45-49,abr,40390
2018,Hombres,45-49,may,39141
2018,Hombres,45-49,jun,37103
2018,Hombres,45-49,jul,35761
2018,Hombres,45-49,ago,35180
2018,Hombres,45-49,sep,34818
2018,Hombres,45-49,oct,34851
2018,Hombres,45-49,nov,35271
2018,Hombres,45-49,dic,34992
2018,Hombres,50-54,ene,37105
2018,Hombres,50-54,feb,36575
2018,Hombres,50-54,mar,35834
2018,Hombres,50-54,abr,34884
2018,Hombres,50-54,may,33723
2018,Hombres,50-54,jun,32088
2018,Hombres,50-54,jul,31093
2018,Hombres,50-54,ago,30679
2018,Hombres,50-54,sep,30348
2018,Hombres,50-54,oct,30374
2018,Hombres,50-54,nov,30603
2018,Hombres,50-54,dic,30457
2018,Hombres,55-59,ene,29990
2018,Hombres,55-59,feb,29734
2018,Hombres,55-59,mar,29417
2018,Hombres,55-59,abr,28420
2018,Hombres,55-59,may,27513
2018,Hombres,55-59,jun,25991
2018,Hombres,55-59,jul,25140
2018,Hombres,55-59,ago,24788
2018,Hombres,55-59,sep,24609
2018,Hombres,55-59,oct,24694
2018,Hombres,55-59,nov,24863
2018,Hombres,55-59,dic,24688
2018,Hombres,60-64,ene,10263
2018,Hombres,60-64,feb,10051
2018,Hombres,60-64,mar,9863
2018,Hombres,60-64,abr,9496
2018,Hombres,60-64,may,9147
2018,Hombres,60-64,jun,8644
2018,Hombres,60-64,jul,8267
2018,Hombres,60-64,ago,8066
2018,Hombres,60-64,sep,7980
